OCORRÊNCIA;ASSUNTO;ITEM;MOTIVO;DATA ABERTURA;DATA FINALIZADA;ORIGEM;NATUREZA;REABERTURA
12443322;TARIFAS;CONTAS PF;OUTRAS TARIFAS;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443325;TARIFAS;CONTAS PF;OUTRAS TARIFAS;22/09/2021;22/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443327;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;22/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12443331;TARIFAS;COBRANA BANCRIA;TARIFAS;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443333;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443334;EMPRÉSTIMOS E FINANCIAMENTOS;EMPRESTIMOS - PF;CADASTRO RESTRITIVO - INCLUSÃO INDEVIDA;22/09/2021;23/09/2021;INTERNET;SUGESTÃO;NÃO
12443344;AGÊNCIA;RECUSA NO ATENDIMENTO;RECUSA PAGAMENTO/DEPÓSITO NO CAIXA;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443347;HABITAÇÃO;FINANCIAMENTO HABITACIONAL;LIBERAÇÃO DO FINANCIAMENTO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443358;CONTAS;CONTA POUPANÇA - PF;SENHA - IDENTIFICAÇÃO POSITIVA/LETRAS/DATAS;22/09/2021;22/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443363;INTERNET/INTRANET/APP;APP CAIXA - FGTS;ACESSO E NAVEGAÇÃO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443365;INTERNET/INTRANET/APP;APP CAIXA TEM;PROBLEMAS NO LOGIN;22/09/2021;22/09/2021;CONSIGNATRIAS;RECLAMAÇÃO;NÃO
12443371;CARTÕES;CARTO DE DBITO;CARTÃO - EMISSÃO / ENVIO;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12443373;EMPRÉSTIMOS E FINANCIAMENTOS;FIES;CADASTRO RESTRITIVO;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443385;INTERNET/INTRANET/APP;INTERNET BANKING;ASSINATURA ELETRÔNICA BLOQUEADA;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443394;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443397;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443407;CONTAS;GOLPE;FALSO ANNCIO/VENDA PELA INTERNET;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443408;AGÊNCIA;AGÊNCIA - ATENDIMENTO;FALHA NA ATUALIZAÇÃO DE CADASTRO;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443417;CONTAS;CONTA CORRENTE - PF;SENHA - IDENTIFICAÇÃO POSITIVA/LETRAS/DATAS;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443426;EMPRÉSTIMOS E FINANCIAMENTOS;EMPRESTIMOS - PF;CADASTRO RESTRITIVO - INCLUSÃO INDEVIDA;22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12443431;CARTÕES;CARTO DE DBITO;VALIDADE/VENCIMENTO DO CARTO;22/09/2021;22/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12443438;CONTAS;CONTA CORRENTE - PF;CONTESTAÇÃO - MOVIMENTAÇÃO FRAUDULENTA VIA IBC (SITE OU APP);22/09/2021;24/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12443455;CONTAS;GOLPE;FALSO ANNCIO/VENDA PELA INTERNET;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443456;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443457;CONTAS;CONTA CORRENTE - PF;EXTRATO - CLAREZA DAS INFORMAÇÕES;22/09/2021;24/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443474;CONTAS;GOLPE;OUTROS GOLPES;22/09/2021;23/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443482;AGÊNCIA;AGÊNCIA - ATENDIMENTO;NÃO CONSEGUIU SER ATENDIDO PELO TELEFONE;22/09/2021;22/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443490;CANAIS DE ATENDIMENTO;SALAS DE AUTO ATENDIMENTO - AGÊNCIA;VALOR NÃO SACADO MAS DEBITADO DA CONTA;22/09/2021;23/09/2021;INTERNET;RECLAMAÇÃO;NÃO
12443493;EMPRÉSTIMOS E FINANCIAMENTOS;NOVO FIES;CONTRATAÇÃO;22/09/2021;22/09/2021;TELEFONE;RECLAMAÇÃO;NÃO
12443495;CONTAS;CONTA POUPANÇA - PF;BLOQUEIO  DE CONTA;22/09/2021;22/09/2021;INTERNET;RECLAMAÇÃO;NÃO
